Order_ID,Product,Category,Price,Quantity,City
1,Phone,Electronics,3659,5,Chennai
2,Laptop,Electronics,30873,4,Bangalore
3,Shoes,Fashion,18967,3,Mumbai
4,Watch,Fashion,28839,1,Kolkata
5,Shoes,Fashion,58409,5,Pune
6,Laptop,Electronics,15680,5,Hyderabad
7,Laptop,Electronics,29876,2,Bangalore
8,Laptop,Electronics,11250,5,Delhi
9,Watch,Fashion,19879,5,Pune
10,Phone,Electronics,36475,2,Mumbai
11,Phone,Electronics,55031,1,Pune
12,Tablet,Electronics,35999,3,Mumbai
13,Laptop,Electronics,42115,3,Kolkata
14,Laptop,Electronics,51677,5,Mumbai
15,Tablet,Electronics,20494,2,Bangalore
16,Shoes,Fashion,14414,3,Mumbai
17,Watch,Fashion,26840,4,Mumbai
18,Phone,Electronics,43329,4,Pune
19,Shoes,Fashion,32320,5,Bangalore
20,Headphones,Electronics,23334,5,Hyderabad
21,Phone,Electronics,7644,4,Bangalore
22,Shoes,Fashion,15132,5,Delhi
23,Watch,Fashion,15409,2,Hyderabad
24,Phone,Electronics,14217,5,Delhi
25,Watch,Fashion,15817,1,Delhi
26,Watch,Fashion,49813,2,Hyderabad
27,Laptop,Electronics,24019,4,Chennai
28,Headphones,Electronics,29157,5,Pune
29,Phone,Electronics,2996,4,Bangalore
30,Watch,Fashion,37135,5,Delhi
31,Watch,Fashion,30481,5,Hyderabad
32,Watch,Fashion,41476,3,Hyderabad
33,Watch,Fashion,5242,5,Hyderabad
34,Watch,Fashion,56106,4,Pune
35,Headphones,Electronics,16405,4,Bangalore
36,Laptop,Electronics,32035,4,Delhi
37,Headphones,Electronics,33619,5,Delhi
38,Headphones,Electronics,24261,2,Kolkata
39,Shoes,Fashion,19643,2,Chennai
40,Headphones,Electronics,5716,2,Pune
41,Phone,Electronics,22920,2,Chennai
42,Watch,Fashion,49920,3,Chennai
43,Headphones,Electronics,42618,2,Hyderabad
44,Phone,Electronics,34912,4,Kolkata
45,Headphones,Electronics,46894,4,Chennai
46,Phone,Electronics,38080,3,Pune
47,Watch,Fashion,4880,1,Hyderabad
48,Shoes,Fashion,31207,3,Chennai
49,Phone,Electronics,39387,2,Mumbai
50,Laptop,Electronics,49843,5,Kolkata
51,Laptop,Electronics,14404,2,Delhi
52,Watch,Fashion,42365,2,Kolkata
53,Shoes,Fashion,19393,5,Kolkata
54,Tablet,Electronics,41642,5,Hyderabad
55,Tablet,Electronics,12549,3,Bangalore
56,Shoes,Fashion,35890,2,Kolkata
57,Shoes,Fashion,8811,1,Delhi
58,Headphones,Electronics,10798,2,Hyderabad
59,Shoes,Fashion,33996,5,Mumbai
60,Tablet,Electronics,44787,1,Pune
61,Laptop,Electronics,1027,2,Kolkata
62,Shoes,Fashion,49777,5,Bangalore
63,Phone,Electronics,50375,4,Kolkata
64,Headphones,Electronics,5731,3,Hyderabad
65,Tablet,Electronics,33624,5,Delhi
66,Tablet,Electronics,12074,3,Mumbai
67,Shoes,Fashion,28130,1,Bangalore
68,Tablet,Electronics,26321,2,Chennai
69,Phone,Electronics,2082,5,Pune
70,Headphones,Electronics,6739,1,Bangalore
71,Headphones,Electronics,10707,2,Hyderabad
72,Phone,Electronics,38667,4,Bangalore
73,Watch,Fashion,22081,1,Delhi
74,Headphones,Electronics,28745,2,Bangalore
75,Headphones,Electronics,45863,3,Kolkata
76,Watch,Fashion,48845,2,Kolkata
77,Shoes,Fashion,47799,1,Mumbai
78,Shoes,Fashion,57095,2,Mumbai
79,Tablet,Electronics,27024,3,Mumbai
80,Phone,Electronics,35183,4,Delhi
81,Laptop,Electronics,55865,5,Pune
82,Shoes,Fashion,10264,5,Bangalore
83,Tablet,Electronics,53676,4,Delhi
84,Headphones,Electronics,44445,3,Mumbai
85,Headphones,Electronics,18331,2,Bangalore
86,Phone,Electronics,59087,3,Kolkata
87,Phone,Electronics,15165,4,Chennai
88,Shoes,Fashion,43044,4,Delhi
89,Watch,Fashion,3225,4,Chennai
90,Shoes,Fashion,37414,2,Hyderabad
91,Phone,Electronics,13129,4,Kolkata
92,Laptop,Electronics,43200,4,Hyderabad
93,Headphones,Electronics,36937,3,Mumbai
94,Watch,Fashion,16087,3,Kolkata
95,Laptop,Electronics,50457,1,Hyderabad
96,Phone,Electronics,20699,2,Pune
97,Watch,Fashion,39382,1,Delhi
98,Watch,Fashion,7265,2,Pune
99,Watch,Fashion,10379,5,Delhi
100,Tablet,Electronics,32242,5,Bangalore
101,Phone,Electronics,54643,1,Chennai
102,Shoes,Fashion,12829,5,Hyderabad
103,Tablet,Electronics,55286,1,Bangalore
104,Phone,Electronics,18136,4,Pune
105,Watch,Fashion,32400,1,Hyderabad
106,Headphones,Electronics,9600,1,Pune
107,Headphones,Electronics,44110,2,Mumbai
108,Watch,Fashion,22815,2,Hyderabad
109,Watch,Fashion,55687,3,Hyderabad
110,Phone,Electronics,33553,3,Bangalore
111,Phone,Electronics,7123,1,Chennai
112,Headphones,Electronics,51496,4,Delhi
113,Watch,Fashion,55908,3,Kolkata
114,Headphones,Electronics,16043,2,Kolkata
115,Watch,Fashion,20051,5,Pune
116,Phone,Electronics,57812,3,Mumbai
117,Phone,Electronics,20562,3,Delhi
118,Laptop,Electronics,12782,5,Hyderabad
119,Watch,Fashion,42989,5,Mumbai
120,Headphones,Electronics,6640,4,Hyderabad
121,Headphones,Electronics,59620,5,Pune
122,Shoes,Fashion,26140,3,Mumbai
123,Tablet,Electronics,31479,1,Delhi
124,Shoes,Fashion,40512,3,Hyderabad
125,Headphones,Electronics,58783,3,Delhi
126,Headphones,Electronics,44307,4,Kolkata
127,Tablet,Electronics,6144,2,Pune
128,Laptop,Electronics,29624,3,Bangalore
129,Headphones,Electronics,21627,1,Kolkata
130,Watch,Fashion,24297,5,Kolkata
131,Shoes,Fashion,55550,2,Kolkata
132,Watch,Fashion,28634,3,Kolkata
133,Watch,Fashion,32571,1,Hyderabad
134,Phone,Electronics,51877,3,Hyderabad
135,Tablet,Electronics,42712,5,Pune
136,Tablet,Electronics,44067,2,Delhi
137,Phone,Electronics,5577,4,Bangalore
138,Tablet,Electronics,8328,2,Chennai
139,Headphones,Electronics,38150,2,Mumbai
140,Tablet,Electronics,24015,5,Pune
141,Tablet,Electronics,18507,4,Kolkata
142,Tablet,Electronics,52721,2,Kolkata
143,Laptop,Electronics,3625,5,Hyderabad
144,Laptop,Electronics,44274,3,Delhi
145,Shoes,Fashion,22099,5,Kolkata
146,Shoes,Fashion,26037,1,Pune
147,Tablet,Electronics,13584,2,Pune
148,Phone,Electronics,20239,5,Bangalore
149,Watch,Fashion,59047,5,Bangalore
150,Tablet,Electronics,2199,2,Bangalore
151,Phone,Electronics,10558,1,Hyderabad
152,Headphones,Electronics,43787,4,Kolkata
153,Watch,Fashion,37849,4,Chennai
154,Headphones,Electronics,30826,1,Chennai
155,Shoes,Fashion,14043,4,Hyderabad
156,Phone,Electronics,59033,1,Kolkata
157,Tablet,Electronics,50681,2,Chennai
